Name	Description	SourceMTOverride	SampleMTOverride	Group	VNI subdivision	Characteristics[mating type]	Characteristics[country]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [organism]	Characteristics [reference]	In GWAS	Phenotyped	Characteristics [fungus organism]	Characteristics [fungal strain]	Lineage	Fluconazole Ave+Std Dev	Paraquat Ave+Std Dev	H2O2	LDOPA Ave+Std Dev
Gbc95-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	tree		tree	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gbc95-1					
Gbc98-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	tree		tree	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gbc98-1					
IUM-96-28-28	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	a	Italy	soil			Viviani et al 2001 Med. Mycol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii IUM-96-28-28					
In2632	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	India	specimen from organism		Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii In2632					
Jo278-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	S. Africa	soil			Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Jo278-1					
Jp1088	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Japan	specimen from organism		Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Jp1088					
LP-RSA116	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	S. Africa	specimen from organism		Human	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA116					
LP-RSA1343	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	S. Africa	specimen from organism		Human	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA1343					
LP-RSA2296	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	S. Africa	specimen from organism		Human	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA2296					
LP-RSA2297	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	S. Africa	specimen from organism		Human	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA2297					
LP-RSA3042	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	S. Africa	specimen from organism		Human	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA3042					
LP-RSA848	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	S. Africa	specimen from organism		Human	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA848					
MW-RSA1869	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA1869					
MW-RSA2628	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA2628					
MW-RSA3834	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA3834					
MW-RSA524	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA524					
MW-RSA5387	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA5387					
MW-RSA606	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA606					
MW-RSA6134	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA6134					
MW-RSA722	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA722					
MW-RSA82	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA82					
MW-RSA1955	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA1955					
MW-RSA36	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA36					
NRHc5001.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5001.ENR					
NRHc5010.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5010.ENR					
NRHc5015.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5015.ENR					
NRHc5015.REL.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5015.REL.CLIN.ISO					
NRHc5017.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5017.ENR					
NRHc5025.ENR.CLIN.1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5025.ENR.CLIN.1					
NRHc5028.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5028.ENR.STOR					
NRHc5036.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5036.ENR					
NRHc5044.REL.INI.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5044.REL.INI.CLIN.ISO					
NRHc5048.ENR.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5048.ENR.ISO					
PMHc1018.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1018.ENR					
PMHc1020.CLIN.1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1020.CLIN.1					
PMHc1022.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1022.ENR					
PMHc1031A.ENR.INI.LP	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1031A.ENR.INI.LP					
PMHc1032.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1032.ENR					
PMHc1034.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1034.ENR.STOR					
PMHc1039.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1039.ENR.STOR					
PMHc1040.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1040.ENR.STOR					
PMHc1043.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1043.ENR.STOR					
Pr284-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	Botswana	feces		aves	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Pr284-1					
Pr68	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	S. Africa	feces		pigeon	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Pr68					
RTC1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+	Human	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii RTC1					
RTC5	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+	Human	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii RTC5					
TCl-11	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	Togo	specimen from organism		Human	This study	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii TCl-11					
TCl-14	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	Togo	specimen from organism		Human	This study	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii TCl-14					
Th206	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Thailand	blood	HIV+	Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Th206					
Th84	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Thailand	blood	HIV+	Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Th84					
Tu241-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI		_	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Tu241-1					
Tu259-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Tu259-1					
Ug2459	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	Uganda	specimen from organism		Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ug2459					
Ug2463	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Uganda	specimen from organism		Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ug2463					
WM148	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	Australia	specimen from organism		Human	Litvintseva et al 2006 Genetics, Meyer et al 2009 Med Mycol	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii WM148					
